step,wall_us,t_min_us,t_max_us,t_mean_us,imbalance_pct,elems_min,elems_max,gflops
176,106029,100209,106008,103109,5.62422,10000,10000,1.43829
177,155886,131334,155867,143600,17.0844,10000,10000,0.978278
178,156516,105421,156497,130959,39.0015,10000,10000,0.974341
179,96031.9,85081.8,96011.9,90546.8,12.0712,10000,10000,1.58801
180,87737.1,82078.9,87719.9,84899.4,6.64431,10000,10000,1.73815
181,87547.8,84030.2,87531.1,85780.6,4.08127,10000,10000,1.74191
182,87389.9,86734.1,87374.9,87054.5,0.73617,10000,10000,1.74505
183,88660,86913.8,88643.8,87778.8,1.97082,10000,10000,1.72005
184,81627.1,80915.9,81613.1,81264.5,0.85786,10000,10000,1.86825
185,86451.1,82644.9,86433.9,84539.4,4.48187,10000,10000,1.764
186,101984,88049.9,101965,95007.4,14.6463,10000,10000,1.49533
187,83732.8,83069.1,83717.1,83393.1,0.777069,10000,10000,1.82127
188,85094,80477,85076.8,82776.9,5.55688,10000,10000,1.79214
189,89609.9,88775.2,89593.2,89184.2,0.917219,10000,10000,1.70182
190,87176.1,86179,87160.8,86669.9,1.13281,10000,10000,1.74933
191,93430,89910,93415,91662.5,3.8238,10000,10000,1.63224
192,93122,85246.8,93102.9,89174.9,8.8098,10000,10000,1.63764
193,81236.1,81068,81221.1,81144.6,0.188632,10000,10000,1.87724
194,82991.1,80052.9,82975.9,81514.4,3.58589,10000,10000,1.83755
195,86000,84330.1,85985.9,85158,1.94441,10000,10000,1.77326
196,86686.1,86230,86670.9,86450.5,0.509929,10000,10000,1.75922
197,87522,86389.1,87507,86948,1.28576,10000,10000,1.74242
198,87364.9,82654,87340.8,84997.4,5.51409,10000,10000,1.74555
199,86758.1,84844.1,86741,85792.5,2.21098,10000,10000,1.75776
